plantSp,animalSp,meanPIE,maxPIE,n_methods
Rhamnus lycioides,Turdus torquatus,1.1732910562674883e-4,6.708563108147274e-5,1
Rubia peregrina,Curruca hortensis,1.1732910562674883e-4,6.708563108147274e-5,1
Smilax aspera,Chloris chloris,1.1732910562674883e-4,6.708563108147274e-5,1
Vitis vinifera,Curruca melanocephala,1.1732910562674883e-4,6.708563108147274e-5,1
Rubus ulmifolius,Apodemus sylvaticus,1.1439350578418713e-4,6.540713394311199e-5,1
Arbutus unedo,Apodemus/Mus,1.129642541436672e-4,6.458992624544546e-5,1
Arbutus unedo,Oryctolagus cuniculus,1.129642541436672e-4,6.458992624544546e-5,1
Arbutus unedo,Rattus rattus,1.129642541436672e-4,6.458992624544546e-5,1
Arbutus unedo,Turdus torquatus,1.129642541436672e-4,6.458992624544546e-5,1
Arbutus unedo,Turdus viscivorus,1.129642541436672e-4,6.458992624544546e-5,1
Asparagus spp,Phoenicurus phoenicurus,1.129642541436672e-4,6.458992624544546e-5,1
Asparagus spp,Sus scrofa,1.129642541436672e-4,6.458992624544546e-5,1
Corema album,Apodemus/Mus,1.129642541436672e-4,6.458992624544546e-5,1
Corema album,Vulpes vulpes,1.129642541436672e-4,6.458992624544546e-5,1
Juniperus macrocarpa,Dama dama,1.129642541436672e-4,6.458992624544546e-5,1
Juniperus phoenicea,Galerida cristata,1.129642541436672e-4,6.458992624544546e-5,1
Olea europaea,Oryctolagus cuniculus,1.129642541436672e-4,6.458992624544546e-5,1
Olea europaea,Parus major,7.60409316794467e-5,6.458992624544546e-5,2
Osyris lanceolata,Turdus torquatus,1.129642541436672e-4,6.458992624544546e-5,1
Pistacia lentiscus,Lanius meridionalis,1.129642541436672e-4,6.458992624544546e-5,1
Pyrus bourgaeana,Erithacus rubecula,1.129642541436672e-4,6.458992624544546e-5,1
